FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250611;0000;75;;;
250612;0000;44;;;
250613;0000;66;;;
250614;0000;77;;;
250615;0000;56;;;
250616;0000;21;;;
250617;0000;73;;;
250618;0000;107;;;
250619;0000;137;;;
250620;0000;104;;;
250621;0000;99;;;
250622;0000;31;;;
250623;0000;65;;;
250624;0000;79;;;
250625;0000;66;;;
250626;0000;92;;;
250627;0000;113;;;
250628;0000;94;;;
250629;0000;95;;;
250630;0000;128;;;
250701;0000;163;;;
250702;0000;169;;;
250703;0000;156;;;
250704;0000;111;;;
250705;0000;64;;;
250706;0000;49;;;
250707;0000;77;;;
250708;0000;93;;;
250709;0000;70;;;
250710;0000;120;;;
250711;0000;161;;;
250712;0000;152;;;
250713;0000;109;;;
250714;0000;109;;;
250715;0000;126;;;
250716;0000;110;;;
250717;0000;158;;;
250718;0000;138;;;
250719;0000;114;;;
250720;0000;114;;;
250721;0000;131;;;
250722;0000;159;;;
250723;0000;120;;;
250724;0000;86;;;
250725;0000;122;;;
250726;0000;119;;;
250727;0000;99;;;
250728;0000;136;;;
250729;0000;148;;;
250730;0000;99;;;
250731;0000;43;;;
250801;0000;13;;;
250802;0000;22;;;
250803;0000;73;;;
250804;0000;108;;;
250805;0000;104;;;
250806;0000;80;;;
250807;0000;73;;;
250808;0000;119;;;
250809;0000;40;;;
250810;0000;80;;;
250811;0000;117;;;
250812;0000;102;;;
250813;0000;131;;;
250814;0000;88;;;
250815;0000;21;;;
250816;0000;41;;;
250817;0000;43;;;
250818;0000;53;;;
250819;0000;41;;;
250820;0000;47;;;
250821;0000;21;;;
250822;0000;9;;;
250823;0000;40;;;
250824;0000;64;;;
250825;0000;89;;;
250826;0000;109;;;
250827;0000;90;;;
250828;0000;48;;;
250829;0000;30;;;
250830;0000;36;;;
250831;0000;49;;;
250901;0000;68;;;
250902;0000;42;;;
250903;0000;59;;;
250904;0000;103;;;
250905;0000;102;;;
250906;0000;52;;;
250907;0000;34;;;
250908;0000;52;;;
250909;0000;64;;;
250910;0000;56;;;
250911;0000;90;;;
250912;0000;96;;;
250913;0000;40;;;
250914;0000;41;;;
250915;0000;85;;;
250916;0000;76;;;
250917;0000;53;;;
250918;0000;54;;;
250919;0000;53;;;
250920;0000;19;;;
250921;0000;9;;;
250922;0000;45;;;
250923;0000;68;;;
250924;0000;70;;;
250925;0000;62;;;
250926;0000;31;;;
250927;0000;42;;;
250928;0000;50;;;
250929;0000;35;;;
250930;0000;50;;;
251001;0000;72;;;
251002;0000;74;;;
251003;0000;76;;;
251004;0000;22;;;
251005;0000;12;;;
251006;0000;36;;;
251007;0000;49;;;
251008;0000;54;;;
251009;0000;60;;;
251010;0000;69;;;
251011;0000;37;;;
251012;0000;43;;;
251013;0000;52;;;
251014;0000;62;;;
