FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250602;0000;0,78;;;
250603;0000;1,4;;;
250604;0000;0,85;;;
250605;0000;0,98;;;
250606;0000;0,76;;;
250607;0000;0,33;;;
250608;0000;1,26;;;
250609;0000;1,05;;;
250610;0000;1,01;;;
250611;0000;0,26;;;
250612;0000;0,36;;;
250613;0000;0,68;;;
250614;0000;0,57;;;
250615;0000;0,44;;;
250616;0000;0,26;;;
250617;0000;0,49;;;
250618;0000;0,86;;;
250619;0000;1,18;;;
250620;0000;0,86;;;
250621;0000;0,76;;;
250622;0000;0,13;;;
250623;0000;0,28;;;
250624;0000;0,48;;;
250625;0000;0,17;;;
250626;0000;0,33;;;
250627;0000;0,61;;;
250628;0000;0,38;;;
250629;0000;0,79;;;
250630;0000;0,91;;;
250701;0000;1,28;;;
250702;0000;1,56;;;
250703;0000;1,54;;;
250704;0000;0,57;;;
250705;0000;0,11;;;
250706;0000;0,36;;;
250707;0000;0,49;;;
250708;0000;0,57;;;
250709;0000;0,1;;;
250710;0000;0,35;;;
250711;0000;1,27;;;
250712;0000;1,28;;;
250713;0000;0,76;;;
250714;0000;0,27;;;
250715;0000;0,65;;;
250716;0000;0,91;;;
250717;0000;1,6;;;
250718;0000;1,04;;;
250719;0000;0,79;;;
250720;0000;1;;;
250721;0000;0,82;;;
250722;0000;1,09;;;
250723;0000;0,74;;;
250724;0000;0,37;;;
250725;0000;0,71;;;
250726;0000;0,84;;;
250727;0000;0,68;;;
250728;0000;0,95;;;
250729;0000;0,64;;;
250730;0000;0,36;;;
250731;0000;0,15;;;
250801;0000;0,11;;;
250802;0000;0,17;;;
250803;0000;0,74;;;
250804;0000;1,09;;;
250805;0000;0,71;;;
250806;0000;0,52;;;
250807;0000;0,3;;;
250808;0000;0,77;;;
250809;0000;0,11;;;
250810;0000;0,39;;;
250811;0000;;;;
250812;0000;;;;
250813;0000;0,92;;;
250814;0000;0,43;;;
250815;0000;0,14;;;
250816;0000;0,21;;;
250817;0000;0,37;;;
250818;0000;0,4;;;
250819;0000;0,15;;;
250820;0000;0,24;;;
250821;0000;0,1;;;
250822;0000;0,11;;;
250823;0000;0,39;;;
250824;0000;0,45;;;
250825;0000;0,54;;;
250826;0000;0,55;;;
250827;0000;0,43;;;
250828;0000;0,14;;;
250829;0000;0,1;;;
250830;0000;0,16;;;
250831;0000;0,25;;;
250901;0000;0,43;;;
250902;0000;0,13;;;
250903;0000;0,19;;;
250904;0000;0,39;;;
250905;0000;0,32;;;
250906;0000;0,13;;;
250907;0000;0,11;;;
250908;0000;0,19;;;
250909;0000;0,29;;;
250910;0000;0,19;;;
250911;0000;0,3;;;
250912;0000;0,45;;;
250913;0000;0,11;;;
250914;0000;0,12;;;
250915;0000;0,25;;;
250916;0000;0,31;;;
250917;0000;0,14;;;
250918;0000;0,12;;;
250919;0000;0,15;;;
250920;0000;0,1;;;
250921;0000;0,1;;;
250922;0000;0,18;;;
250923;0000;0,24;;;
250924;0000;0,28;;;
250925;0000;0,16;;;
250926;0000;0,19;;;
250927;0000;0,35;;;
250928;0000;;;;
250929;0000;0,11;;;
250930;0000;0,14;;;
251001;0000;0,27;;;
251002;0000;0,25;;;
251003;0000;0,17;;;
251004;0000;0,1;;;
251005;0000;0,11;;;
251006;0000;0,18;;;
251007;0000;0,19;;;
251008;0000;0,2;;;
251009;0000;0,27;;;
251010;0000;0,22;;;
251011;0000;0,11;;;
251012;0000;0,13;;;
251013;0000;0,13;;;
251014;0000;0,12;;;
251015;0000;0,13;;;
251016;0000;0,12;;;
251017;0000;0,19;;;
251018;0000;0,22;;;
251019;0000;0,11;;;
251020;0000;0,11;;;
251021;0000;0,15;;;
251022;0000;0,11;;;
251023;0000;0,11;;;
251024;0000;0,11;;;
251025;0000;0,1;;;
251026;0000;0,12;;;
251027;0000;0,11;;;
251028;0000;0,12;;;
251029;0000;0,12;;;
251030;0000;0,11;;;
251031;0000;0,1;;;
251101;0000;0,11;;;
251102;0000;0,12;;;
251103;0000;0,11;;;
251104;0000;0,1;;;
251105;0000;0,13;;;
251106;0000;0,1;;;
251107;0000;0,13;;;
251108;0000;0,13;;;
251109;0000;0,1;;;
251110;0000;0,12;;;
251111;0000;0,11;;;
251112;0000;0,14;;;
251113;0000;0,15;;;
251114;0000;0,12;;;
251115;0000;0,1;;;
251116;0000;0,1;;;
251117;0000;0,13;;;
251118;0000;0,12;;;
251119;0000;0,11;;;
251120;0000;0,11;;;
251121;0000;0,18;;;
251122;0000;0,11;;;
251123;0000;0,11;;;
251124;0000;0,11;;;
251125;0000;0,11;;;
251126;0000;0,1;;;
251127;0000;0,13;;;
251128;0000;0,1;;;
251129;0000;0,1;;;
251130;0000;0,11;;;
251201;0000;0,11;;;
251202;0000;0,11;;;
251203;0000;0,12;;;
251204;0000;0,11;;;
251205;0000;0,12;;;
251206;0000;0,16;;;
251207;0000;0,1;;;
251208;0000;0,11;;;
251209;0000;0,12;;;
251210;0000;0,1;;;
251211;0000;0,1;;;
251212;0000;0,11;;;
251213;0000;0,1;;;
251214;0000;0,1;;;
251215;0000;0,12;;;
251216;0000;0,19;;;
251217;0000;0,17;;;
251218;0000;0,13;;;
251219;0000;0,11;;;
251220;0000;0,1;;;
251221;0000;0,1;;;
251222;0000;0,1;;;
251223;0000;0,11;;;
251224;0000;0,11;;;
251225;0000;0,1;;;
251226;0000;0,1;;;
251227;0000;0,11;;;
251228;0000;0,1;;;
251229;0000;0,12;;;
251230;0000;0,12;;;
251231;0000;0,11;;;
260101;0000;;0,13;;
260102;0000;;0,11;;
260103;0000;;0,1;;
260104;0000;;0,1;;
260105;0000;;0,1;;
260106;0000;;;;
260107;0000;;0,14;;
260108;0000;;0,11;;
260109;0000;;0,11;;
260110;0000;;0,11;;
260111;0000;;0,1;;
260112;0000;;0,13;;
260113;0000;;0,11;;
260114;0000;;0,11;;
260115;0000;;0,1;;
260116;0000;;0,12;;
260117;0000;;0,1;;
260118;0000;;0,13;;
260119;0000;;0,11;;
260120;0000;;0,11;;
260121;0000;;0,11;;
260122;0000;;0,11;;
260123;0000;;0,11;;
260124;0000;;0,1;;
260125;0000;;0,1;;
260126;0000;;0,1;;
260127;0000;;0,1;;
260128;0000;;0,11;;
260129;0000;;0,14;;
260130;0000;;0,1;;
260131;0000;;0,1;;
260201;0000;;0,1;;
260202;0000;;0,1;;
260203;0000;;0,1;;
260204;0000;;0,1;;
260205;0000;;0,1;;
260206;0000;;0,11;;
260207;0000;;0,14;;
260208;0000;;0,1;;
260209;0000;;0,1;;
260210;0000;;0,1;;
260211;0000;;0,1;;
260212;0000;;0,1;;
260213;0000;;0,11;;
260214;0000;;0,11;;
260215;0000;;0,1;;
260216;0000;;0,11;;
260217;0000;;0,12;;
260218;0000;;0,11;;
260219;0000;;0,11;;
260220;0000;;0,11;;
260221;0000;;0,11;;
260222;0000;;0,12;;
260223;0000;;0,12;;
260224;0000;;0,14;;
260225;0000;;0,14;;
260226;0000;;0,13;;
260227;0000;;0,12;;
260228;0000;;0,11;;
260301;0000;;0,14;;
260302;0000;;0,1;;
260303;0000;;0,11;;
260304;0000;;0,12;;
260305;0000;;0,12;;
260306;0000;;0,14;;
260307;0000;;0,1;;
260308;0000;;0,1;;
260309;0000;;0,13;;
260310;0000;;0,13;;
260311;0000;;0,16;;
260312;0000;;0,21;;
260313;0000;;0,15;;
260314;0000;;0,1;;
260315;0000;;0,1;;
260316;0000;;0,14;;
260317;0000;;0,12;;
260318;0000;;0,17;;
260319;0000;;0,12;;
260320;0000;;0,1;;
260321;0000;;0,1;;
260322;0000;;0,19;;
260323;0000;;0,19;;
260324;0000;;0,19;;
260325;0000;;0,18;;
260326;0000;;0,13;;
260327;0000;;0,14;;
260328;0000;;0,12;;
260329;0000;;0,19;;
260330;0000;;0,19;;
260331;0000;;0,15;;
260401;0000;;0,16;;
260402;0000;;0,21;;
260403;0000;;0,26;;
260404;0000;;0,42;;
260405;0000;;0,21;;
260406;0000;;0,14;;
260407;0000;;0,25;;
260408;0000;;0,19;;
260409;0000;;0,14;;
260410;0000;;0,1;;
260411;0000;;0,1;;
260412;0000;;0,14;;
260413;0000;;0,15;;
260414;0000;;0,16;;
260415;0000;;0,39;;
260416;0000;;;;
260417;0000;;0,1;;
260418;0000;;0,1;;
260419;0000;;0,1;;
260420;0000;;0,11;;
260421;0000;;0,13;;
260422;0000;;0,18;;
260423;0000;;0,35;;
260424;0000;;0,2;;
260425;0000;;0,3;;
260426;0000;;0,41;;
260427;0000;;0,24;;
260428;0000;;0,15;;
260429;0000;;0,21;;
260430;0000;;;;
260501;0000;;;;
260502;0000;;;;
260503;0000;;;;
260504;0000;;;;
260505;0000;;;;
260506;0000;;;;
260507;0000;;;;
260508;0000;;;;
260509;0000;;;;
260510;0000;;;;
260511;0000;;;;
260512;0000;;;;
260513;0000;;;;
260514;0000;;;0,83;
260515;0000;;;;
260516;0000;;;;
260517;0000;;;;
260518;0000;;;;
260519;0000;;;;
260520;0000;;;;
260521;0000;;;0,29;
260522;0000;;;0,41;
260523;0000;;;0,39;
260524;0000;;;0,6;
260525;0000;;;;
260526;0000;;;;
260527;0000;;;;
260528;0000;;;;
260529;0000;;;;
260530;0000;;;;
260531;0000;;;;
260601;0000;;;;
