FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250611;0000;34;;;
250612;0000;18;;;
250613;0000;24;;;
250614;0000;31;;;
250615;0000;22;;;
250616;0000;7;;;
250617;0000;23;;;
250618;0000;34;;;
250619;0000;42;;;
250620;0000;40;;;
250621;0000;44;;;
250622;0000;17;;;
250623;0000;26;;;
250624;0000;31;;;
250625;0000;27;;;
250626;0000;36;;;
250627;0000;47;;;
250628;0000;44;;;
250629;0000;48;;;
250630;0000;52;;;
250701;0000;54;;;
250702;0000;51;;;
250703;0000;40;;;
250704;0000;35;;;
250705;0000;32;;;
250706;0000;17;;;
250707;0000;25;;;
250708;0000;35;;;
250709;0000;35;;;
250710;0000;53;;;
250711;0000;61;;;
250712;0000;65;;;
250713;0000;65;;;
250714;0000;57;;;
250715;0000;59;;;
250716;0000;51;;;
250717;0000;51;;;
250718;0000;39;;;
250719;0000;42;;;
250720;0000;48;;;
250721;0000;49;;;
250722;0000;51;;;
250723;0000;45;;;
250724;0000;33;;;
250725;0000;43;;;
250726;0000;53;;;
250727;0000;54;;;
250728;0000;50;;;
250729;0000;44;;;
250730;0000;30;;;
250731;0000;13;;;
250801;0000;6;;;
250802;0000;10;;;
250803;0000;35;;;
250804;0000;34;;;
250805;0000;31;;;
250806;0000;24;;;
250807;0000;29;;;
250808;0000;43;;;
250809;0000;21;;;
250810;0000;38;;;
250811;0000;40;;;
250812;0000;31;;;
250813;0000;42;;;
250814;0000;30;;;
250815;0000;10;;;
250816;0000;15;;;
250817;0000;17;;;
250818;0000;23;;;
250819;0000;14;;;
250820;0000;14;;;
250821;0000;4;;;
250822;0000;4;;;
250823;0000;19;;;
250824;0000;24;;;
250825;0000;26;;;
250826;0000;31;;;
250827;0000;32;;;
250828;0000;26;;;
250829;0000;14;;;
250830;0000;18;;;
250831;0000;25;;;
250901;0000;29;;;
250902;0000;16;;;
250903;0000;20;;;
250904;0000;32;;;
250905;0000;30;;;
250906;0000;25;;;
250907;0000;17;;;
250908;0000;14;;;
250909;0000;16;;;
250910;0000;12;;;
250911;0000;22;;;
250912;0000;26;;;
250913;0000;10;;;
250914;0000;13;;;
250915;0000;21;;;
250916;0000;25;;;
250917;0000;22;;;
250918;0000;23;;;
250919;0000;14;;;
250920;0000;7;;;
250921;0000;5;;;
250922;0000;11;;;
250923;0000;20;;;
250924;0000;21;;;
250925;0000;17;;;
250926;0000;11;;;
250927;0000;16;;;
250928;0000;21;;;
250929;0000;10;;;
250930;0000;15;;;
251001;0000;20;;;
251002;0000;21;;;
251003;0000;18;;;
251004;0000;6;;;
251005;0000;5;;;
251006;0000;10;;;
251007;0000;15;;;
251008;0000;16;;;
251009;0000;18;;;
251010;0000;17;;;
251011;0000;8;;;
251012;0000;12;;;
251013;0000;14;;;
251014;0000;15;;;
251015;0000;16;;;
251016;0000;15;;;
251017;0000;16;;;
251018;0000;18;;;
251019;0000;16;;;
251020;0000;15;;;
251021;0000;15;;;
251022;0000;15;;;
251023;0000;12;;;
251024;0000;11;;;
251025;0000;9;;;
251026;0000;12;;;
251027;0000;10;;;
251028;0000;14;;;
251029;0000;16;;;
251030;0000;12;;;
251031;0000;12;;;
251101;0000;9;;;
251102;0000;12;;;
251103;0000;11;;;
251104;0000;10;;;
251105;0000;11;;;
251106;0000;10;;;
251107;0000;9;;;
251108;0000;13;;;
251109;0000;11;;;
251110;0000;11;;;
251111;0000;9;;;
251112;0000;13;;;
251113;0000;15;;;
251114;0000;17;;;
251115;0000;14;;;
251116;0000;11;;;
251117;0000;13;;;
251118;0000;16;;;
251119;0000;12;;;
251120;0000;13;;;
251121;0000;16;;;
251122;0000;17;;;
251123;0000;16;;;
251124;0000;16;;;
251125;0000;19;;;
251126;0000;15;;;
251127;0000;13;;;
251128;0000;9;;;
251129;0000;8;;;
251130;0000;13;;;
251201;0000;10;;;
251202;0000;11;;;
251203;0000;13;;;
251204;0000;12;;;
251205;0000;15;;;
251206;0000;17;;;
251207;0000;12;;;
251208;0000;12;;;
251209;0000;17;;;
251210;0000;13;;;
251211;0000;12;;;
251212;0000;13;;;
251213;0000;9;;;
251214;0000;8;;;
251215;0000;10;;;
251216;0000;32;;;
251217;0000;31;;;
251218;0000;16;;;
251219;0000;14;;;
251220;0000;10;;;
251221;0000;8;;;
251222;0000;11;;;
251223;0000;16;;;
251224;0000;18;;;
251225;0000;13;;;
251226;0000;13;;;
251227;0000;14;;;
251228;0000;14;;;
251229;0000;19;;;
251230;0000;18;;;
251231;0000;20;;;
260101;0000;;25;;
260102;0000;;15;;
260103;0000;;11;;
260104;0000;;11;;
260105;0000;;11;;
260106;0000;;11;;
260107;0000;;14;;
260108;0000;;14;;
260109;0000;;17;;
260110;0000;;22;;
260111;0000;;17;;
260112;0000;;18;;
260113;0000;;14;;
260114;0000;;13;;
260115;0000;;14;;
260116;0000;;19;;
260117;0000;;19;;
260118;0000;;24;;
260119;0000;;28;;
260120;0000;;33;;
260121;0000;;21;;
260122;0000;;22;;
260123;0000;;28;;
260124;0000;;22;;
260125;0000;;12;;
260126;0000;;10;;
260127;0000;;10;;
260128;0000;;14;;
260129;0000;;17;;
260130;0000;;10;;
260131;0000;;11;;
