FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250611;0000;27,35;;;
250612;0000;25,12;;;
250613;0000;24,4;;;
250614;0000;26,99;;;
250615;0000;23,04;;;
250616;0000;16,36;;;
250617;0000;23,85;;;
250618;0000;32,51;;;
250619;0000;42,06;;;
250620;0000;34,74;;;
250621;0000;33,55;;;
250622;0000;15,51;;;
250623;0000;22,75;;;
250624;0000;29,27;;;
250625;0000;24,82;;;
250626;0000;27,92;;;
250627;0000;29,4;;;
250628;0000;22,96;;;
250629;0000;22,23;;;
250630;0000;34,65;;;
250701;0000;49,25;;;
250702;0000;53,65;;;
250703;0000;50,87;;;
250704;0000;43,12;;;
250705;0000;16,82;;;
250706;0000;17,58;;;
250707;0000;31,98;;;
250708;0000;36,81;;;
250709;0000;25,52;;;
250710;0000;40,42;;;
250711;0000;48,23;;;
250712;0000;46,57;;;
250713;0000;23,57;;;
250714;0000;26,74;;;
250715;0000;32,91;;;
250716;0000;29,66;;;
250717;0000;47,88;;;
250718;0000;48,02;;;
250719;0000;41,5;;;
250720;0000;36,49;;;
250721;0000;41,7;;;
250722;0000;51,94;;;
250723;0000;37,46;;;
250724;0000;25,82;;;
250725;0000;36,9;;;
250726;0000;35,02;;;
250727;0000;27,14;;;
250728;0000;41,19;;;
250729;0000;49,97;;;
250730;0000;33,47;;;
250731;0000;19,86;;;
250801;0000;19,1;;;
250802;0000;17,7;;;
250803;0000;21,27;;;
250804;0000;37,3;;;
250805;0000;32,41;;;
250806;0000;27,12;;;
250807;0000;24,67;;;
250808;0000;36,79;;;
250809;0000;20,5;;;
250810;0000;25,94;;;
250811;0000;42,72;;;
250812;0000;39,74;;;
250813;0000;48,42;;;
250814;0000;29,21;;;
250815;0000;11,25;;;
250816;0000;18,03;;;
250817;0000;14,68;;;
250818;0000;18,95;;;
250819;0000;19,29;;;
250820;0000;26,77;;;
250821;0000;13,48;;;
250822;0000;16,05;;;
250823;0000;22,76;;;
250824;0000;23,72;;;
250825;0000;34,65;;;
250826;0000;40,55;;;
250827;0000;32,81;;;
250828;0000;20,75;;;
250829;0000;13,05;;;
250830;0000;19,42;;;
250831;0000;19,08;;;
250901;0000;23,07;;;
250902;0000;17,82;;;
250903;0000;21,14;;;
250904;0000;30,1;;;
250905;0000;28,17;;;
250906;0000;18,08;;;
250907;0000;10,11;;;
250908;0000;17,43;;;
250909;0000;23,1;;;
250910;0000;23,01;;;
250911;0000;25,99;;;
250912;0000;24,84;;;
250913;0000;13,33;;;
250914;0000;12,75;;;
250915;0000;26,05;;;
250916;0000;27,48;;;
250917;0000;16,45;;;
250918;0000;12,64;;;
250919;0000;11,85;;;
250920;0000;8,01;;;
250921;0000;6,8;;;
250922;0000;21,19;;;
250923;0000;25,79;;;
250924;0000;26,51;;;
250925;0000;21,6;;;
250926;0000;14,79;;;
250927;0000;18,21;;;
250928;0000;16,3;;;
250929;0000;13,33;;;
250930;0000;19,66;;;
251001;0000;24,79;;;
251002;0000;27,36;;;
251003;0000;18,31;;;
251004;0000;5,72;;;
251005;0000;7,33;;;
251006;0000;19,74;;;
251007;0000;22,35;;;
251008;0000;23,83;;;
251009;0000;24,34;;;
251010;0000;18,28;;;
251011;0000;8,86;;;
251012;0000;14,41;;;
251013;0000;18,23;;;
251014;0000;;;16,22;
251015;0000;;;15,71;
251016;0000;22,07;;;
251017;0000;25,36;;;
251018;0000;24,6;;;
251019;0000;15,08;;;
251020;0000;16,87;;;
251021;0000;23,31;;;
251022;0000;16,88;;;
251023;0000;20,02;;;
251024;0000;13,98;;;
251025;0000;10,52;;;
251026;0000;13,97;;;
251027;0000;14,25;;;
251028;0000;16,96;;;
251029;0000;14,45;;;
251030;0000;;;12,47;
251031;0000;;;2,22;
251101;0000;;;0,34;
251102;0000;;;;
251103;0000;;;;
251104;0000;;;;
251105;0000;;;11,83;
251106;0000;8,59;;;
251107;0000;13,51;;;
251108;0000;11,52;;;
251109;0000;4,35;;;
251110;0000;10,04;;;
251111;0000;10,58;;;
251112;0000;17,05;;;
251113;0000;19,95;;;
251114;0000;14,74;;;
251115;0000;7,66;;;
251116;0000;7,76;;;
251117;0000;16,13;;;
251118;0000;15,92;;;
251119;0000;12,41;;;
251120;0000;17,55;;;
251121;0000;18,41;;;
251122;0000;16,2;;;
251123;0000;11,32;;;
251124;0000;10,88;;;
251125;0000;10,4;;;
251126;0000;10,28;;;
251127;0000;14,69;;;
251128;0000;8,46;;;
251129;0000;6,74;;;
251130;0000;6,42;;;
251201;0000;9,18;;;
251202;0000;10,16;;;
251203;0000;13,07;;;
251204;0000;;;7,05;
251205;0000;;;5,12;
251206;0000;;;5,91;
251207;0000;;;2,05;
251208;0000;;;2,37;
251209;0000;;;2,91;
251210;0000;;;1,95;
251211;0000;;;5,59;
251212;0000;;;10,9;
251213;0000;8,47;;;
251214;0000;6,17;;;
251215;0000;11,81;;;
251216;0000;16,88;;;
251217;0000;15,35;;;
251218;0000;13,74;;;
251219;0000;11,11;;;
251220;0000;6,16;;;
251221;0000;5,41;;;
251222;0000;8,64;;;
251223;0000;11,97;;;
251224;0000;9,76;;;
251225;0000;7,35;;;
251226;0000;7,13;;;
251227;0000;9,32;;;
251228;0000;7,83;;;
251229;0000;12,04;;;
251230;0000;13,74;;;
251231;0000;14,51;;;
260101;0000;;9,47;;
260102;0000;;9,58;;
260103;0000;;7,49;;
260104;0000;;4,63;;
260105;0000;;9,13;;
260106;0000;;7,5;;
260107;0000;;12,15;;
260108;0000;;12,44;;
260109;0000;;13,41;;
260110;0000;;9,62;;
260111;0000;;8,87;;
260112;0000;;12,99;;
260113;0000;;11,66;;
260114;0000;;9,59;;
260115;0000;;8,53;;
260116;0000;;12,73;;
260117;0000;;12,97;;
260118;0000;;9,05;;
260119;0000;;10,86;;
260120;0000;;12,72;;
260121;0000;;;11,79;
260122;0000;;;11,16;
260123;0000;;;11,7;
260124;0000;;;8,01;
260125;0000;;;7,11;
260126;0000;;;7,57;
260127;0000;;;8,79;
260128;0000;;13,05;;
260129;0000;;14,37;;
260130;0000;;9,13;;
260131;0000;;8,89;;
260201;0000;;8,92;;
260202;0000;;7,88;;
260203;0000;;7,69;;
260204;0000;;9,41;;
260205;0000;;8,14;;
260206;0000;;10,56;;
260207;0000;;14,39;;
260208;0000;;9,43;;
260209;0000;;8,31;;
260210;0000;;6,94;;
260211;0000;;10,4;;
260212;0000;;13,17;;
260213;0000;;15,65;;
260214;0000;;10,52;;
260215;0000;;7,39;;
260216;0000;;13,58;;
260217;0000;;14,94;;
260218;0000;;12,31;;
260219;0000;;13,39;;
260220;0000;;13,92;;
260221;0000;;10,15;;
260222;0000;;11,51;;
260223;0000;;15,26;;
260224;0000;;17,24;;
260225;0000;;17,38;;
260226;0000;;17,09;;
260227;0000;;15,68;;
260228;0000;;11,71;;
260301;0000;;9,68;;
260302;0000;;6,88;;
260303;0000;;14,1;;
260304;0000;;;18,35;
260305;0000;;;21,48;
260306;0000;;;22,76;
260307;0000;;;15,33;
260308;0000;;;13,34;
260309;0000;;;19,22;
260310;0000;;;23,85;
260311;0000;;;22,36;
260312;0000;;;27,57;
260313;0000;;;34,62;
260314;0000;;;31,25;
260315;0000;;;26,01;
260316;0000;;;17,35;
260317;0000;;12,71;;
260318;0000;;18,79;;
260319;0000;;15,21;;
260320;0000;;10,93;;
260321;0000;;9,09;;
260322;0000;;;13,6;
260323;0000;;18,15;;
260324;0000;;17,9;;
260325;0000;;16,31;;
260326;0000;;16,99;;
260327;0000;;17,44;;
260328;0000;;15,1;;
260329;0000;;15,93;;
260330;0000;;19,81;;
260331;0000;;20,06;;
260401;0000;;15,54;;
260402;0000;;18,73;;
260403;0000;;19,3;;
260404;0000;;21,63;;
260405;0000;;12,2;;
260406;0000;;14,29;;
260407;0000;;23,77;;
