FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250611;0000;1;;;
250612;0000;4;;;
250613;0000;5;;;
250614;0000;4;;;
250615;0000;6;;;
250616;0000;10;;;
250617;0000;2;;;
250618;0000;2;;;
250619;0000;3;;;
250620;0000;4;;;
250621;0000;2;;;
250622;0000;9;;;
250623;0000;3;;;
250624;0000;3;;;
250625;0000;4;;;
250626;0000;4;;;
250627;0000;1;;;
250628;0000;4;;;
250629;0000;7;;;
250630;0000;2;;;
250701;0000;3;;;
250702;0000;2;;;
250703;0000;3;;;
250704;0000;4;;;
250705;0000;7;;;
250706;0000;7;;;
250707;0000;3;;;
250708;0000;3;;;
250709;0000;1;;;
250710;0000;3;;;
250711;0000;3;;;
250712;0000;5;;;
250713;0000;7;;;
250714;0000;4;;;
250715;0000;3;;;
250716;0000;6;;;
250717;0000;3;;;
250718;0000;4;;;
250719;0000;5;;;
250720;0000;7;;;
250721;0000;5;;;
250722;0000;4;;;
250723;0000;5;;;
250724;0000;3;;;
250725;0000;2;;;
250726;0000;2;;;
250727;0000;3;;;
250728;0000;4;;;
250729;0000;2;;;
250730;0000;2;;;
250731;0000;4;;;
250801;0000;7;;;
250802;0000;10;;;
250803;0000;2;;;
250804;0000;2;;;
250805;0000;3;;;
250806;0000;5;;;
250807;0000;6;;;
250808;0000;7;;;
250809;0000;3;;;
250810;0000;9;;;
250811;0000;2;;;
250812;0000;3;;;
250813;0000;6;;;
250814;0000;9;;;
250815;0000;10;;;
250816;0000;9;;;
250817;0000;9;;;
250818;0000;7;;;
250819;0000;12;;;
250820;0000;9;;;
250821;0000;18;;;
250822;0000;16;;;
250823;0000;10;;;
250824;0000;13;;;
250825;0000;7;;;
250826;0000;10;;;
250827;0000;9;;;
250828;0000;6;;;
250829;0000;16;;;
250830;0000;9;;;
250831;0000;9;;;
250901;0000;11;;;
250902;0000;8;;;
250903;0000;10;;;
250904;0000;11;;;
250905;0000;13;;;
250906;0000;8;;;
250907;0000;16;;;
250908;0000;16;;;
250909;0000;15;;;
250910;0000;10;;;
250911;0000;15;;;
250912;0000;20;;;
250913;0000;19;;;
250914;0000;16;;;
250915;0000;14;;;
250916;0000;21;;;
250917;0000;17;;;
250918;0000;19;;;
250919;0000;21;;;
250920;0000;17;;;
250921;0000;22;;;
250922;0000;11;;;
250923;0000;16;;;
250924;0000;22;;;
250925;0000;18;;;
250926;0000;13;;;
250927;0000;15;;;
250928;0000;20;;;
250929;0000;13;;;
250930;0000;16;;;
251001;0000;20;;;
251002;0000;25;;;
251003;0000;18;;;
251004;0000;25;;;
251005;0000;24;;;
251006;0000;13;;;
251007;0000;16;;;
251008;0000;19;;;
251009;0000;20;;;
251010;0000;15;;;
251011;0000;22;;;
251012;0000;22;;;
251013;0000;21;;;
251014;0000;21;;;
251015;0000;19;;;
251016;0000;19;;;
251017;0000;22;;;
251018;0000;29;;;
251019;0000;20;;;
251020;0000;19;;;
251021;0000;15;;;
251022;0000;27;;;
251023;0000;13;;;
251024;0000;16;;;
251025;0000;24;;;
251026;0000;22;;;
251027;0000;15;;;
251028;0000;22;;;
251029;0000;22;;;
251030;0000;24;;;
251031;0000;19;;;
251101;0000;22;;;
251102;0000;25;;;
251103;0000;18;;;
